X	Operation	$Q_B$ $Q_C$ $Q_D$ $Q_E$
1	Read	1.95	1.21	1.45	5.015		
2	Write	1.75	1.84	1.14	2.0			
3	Map	544.19	1124.78	5.1	501.083
4	UnMap	666.25	595.54	5.2	1029.803
