X	Type	$Q_B$ $Q_C$ $Q_D$ $Q_E$	$Q_F$
1 Half1   55	42	50	111	127
2 Half2   64	51	52	128	147
3 Half4   69	57	52	139	160
4 Half8   72	60	51	144	166
5 Half16  73	61	50	146	168
