X	LWS	$Q_B$ $Q_C$ $Q_E$
1	NULL	2.123	4.719	0.688	
2	1024x1	2.114	4.715	0.687	
3	512x2	2.123	4.715	0.742
4	256x4	2.11	4.713	0.701
5	128x8	2.105	4.742	0.848
6	64x16	2.095	4.665	0.8
7	32x32	2.068	4.403	0.812
8	16x64	2.157	9.307	0.721
9	8x128	2.164	9.457	0.71
10	4x256	2.596	10.388	0.759
11	2x512	11.559	16.856	1.004
12	1x1024	27.598	30.172	2.499
