X	Type	$Q_B$ $Q_C$ $Q_D$ $Q_E$	$Q_F$
1 Half1   1.27	0.292	1.797	3.566	1.529
2 Half2   1.782	0.888	1.657	4.984	2.882
3 Half4   2.041	1.358	1.491	5.18	4.369
4 Half8   2.225	1.523	1.777	4.332	3.776
5 Half16  1.886	1.369	1.812	4.07	2.662
